date,team1,team2,score1,score2,winner
2024-03-27T00:05Z,SF,OAK,1,3,0
2024-03-27T01:07Z,LAA,LAD,4,3,1
2024-03-28T19:05Z,BAL,LAA,11,3,1
2024-03-28T20:10Z,CHW,DET,0,1,0
2024-03-28T20:10Z,KC,MIN,1,4,0
2024-03-28T20:10Z,HOU,NYY,4,5,0
2024-03-28T20:10Z,MIA,PIT,5,6,0
2024-03-28T20:10Z,SD,SF,6,4,1
2024-03-28T20:10Z,LAD,STL,7,1,1
2024-03-28T20:10Z,TB,TOR,2,8,0
2024-03-28T20:10Z,CIN,WSH,8,2,1
2024-03-28T23:35Z,TEX,CHC,4,3,1
2024-03-29T02:07Z,OAK,CLE,0,8,0
2024-03-29T02:10Z,SEA,BOS,4,6,0
2024-03-29T02:10Z,ARI,COL,16,1,1
2024-03-29T17:40Z,NYM,MIL,1,3,0
2024-03-29T19:05Z,PHI,ATL,3,9,0
2024-03-29T22:50Z,TB,TOR,8,2,1
2024-03-29T23:10Z,MIA,PIT,2,7,0
2024-03-30T00:10Z,HOU,NYY,1,7,0
2024-03-30T01:40Z,SEA,BOS,1,0,1
2024-03-30T01:40Z,OAK,CLE,4,6,0
2024-03-30T01:40Z,ARI,COL,7,3,1
2024-03-30T01:40Z,SD,SF,3,8,0
2024-03-30T02:10Z,LAD,STL,6,3,1
2024-03-30T17:40Z,NYM,MIL,6,7,0
2024-03-30T18:10Z,CHW,DET,6,7,0
2024-03-30T20:05Z,BAL,LAA,13,4,1
2024-03-30T20:05Z,PHI,ATL,4,12,0
2024-03-30T20:07Z,OAK,CLE,3,12,0
2024-03-30T20:10Z,KC,MIN,1,5,0
2024-03-30T20:10Z,MIA,PIT,3,9,0
2024-03-30T20:10Z,TB,TOR,5,1,1
2024-03-30T20:10Z,CIN,WSH,6,7,0
2024-03-30T23:05Z,TEX,CHC,11,2,1
2024-03-30T23:15Z,HOU,NYY,3,5,0
2024-03-30T23:15Z,SD,SF,6,9,0
2024-03-31T00:10Z,ARI,COL,4,9,0
2024-03-31T01:10Z,LAD,STL,5,6,0
2024-03-31T01:40Z,SEA,BOS,4,3,1
2024-03-31T17:35Z,BAL,LAA,1,4,0
2024-03-31T17:35Z,PHI,ATL,5,4,1
2024-03-31T17:40Z,NYM,MIL,1,4,0
2024-03-31T17:40Z,MIA,PIT,7,9,0
2024-03-31T17:40Z,TB,TOR,2,9,0
2024-03-31T17:40Z,CIN,WSH,6,5,1
2024-03-31T18:10Z,CHW,DET,2,3,0
2024-03-31T18:10Z,KC,MIN,11,0,1
2024-03-31T18:10Z,HOU,NYY,3,4,0
2024-03-31T18:35Z,TEX,CHC,5,9,0
2024-03-31T20:07Z,OAK,CLE,4,3,1
2024-03-31T20:10Z,SEA,BOS,1,5,0
2024-03-31T20:10Z,ARI,COL,5,1,1
2024-03-31T20:10Z,SD,SF,13,4,1
2024-03-31T23:00Z,LAD,STL,5,4,1
2024-04-01T18:10Z,CHW,ATL,0,9,0
2024-04-01T18:20Z,CHC,COL,5,0,1
2024-04-01T20:05Z,WSH,PIT,4,8,0
2024-04-01T22:35Z,BAL,KC,6,4,1
2024-04-01T22:40Z,MIA,LAA,4,7,0
2024-04-01T22:40Z,PHI,CIN,3,6,0
2024-04-01T22:50Z,TB,TEX,3,9,0
2024-04-01T23:10Z,NYM,DET,0,5,0
2024-04-02T00:10Z,HOU,TOR,10,0,1
2024-04-02T01:40Z,OAK,BOS,0,9,0
2024-04-02T01:40Z,SEA,CLE,5,4,1
2024-04-02T01:40Z,ARI,NYY,2,5,0
2024-04-02T01:40Z,SD,STL,2,6,0
2024-04-02T02:10Z,LAD,SF,8,3,1
2024-04-02T20:10Z,MIL,MIN,3,2,1
2024-04-02T22:35Z,BAL,KC,1,4,0
2024-04-02T22:40Z,MIA,LAA,1,3,0
2024-04-02T22:40Z,PHI,CIN,9,4,1
2024-04-02T22:50Z,TB,TEX,5,2,1
2024-04-02T23:40Z,CHW,ATL,3,2,1
2024-04-02T23:40Z,CHC,COL,12,2,1
2024-04-03T00:10Z,HOU,TOR,1,2,0
2024-04-03T01:40Z,OAK,BOS,4,5,0
2024-04-03T01:40Z,SEA,CLE,2,5,0
2024-04-03T01:40Z,ARI,NYY,7,0,1
2024-04-03T01:40Z,SD,STL,2,5,0
2024-04-03T02:10Z,LAD,SF,5,4,1
2024-04-03T17:05Z,BAL,KC,4,3,1
2024-04-03T17:10Z,MIA,LAA,2,10,0
2024-04-03T17:10Z,MIL,MIN,3,7,0
2024-04-03T17:10Z,TB,TEX,1,4,0
2024-04-03T19:37Z,OAK,BOS,0,1,0
2024-04-03T19:40Z,ARI,NYY,5,6,0
2024-04-03T20:05Z,PHI,CIN,1,4,0
2024-04-03T20:10Z,SEA,CLE,0,8,0
2024-04-03T20:10Z,SD,STL,3,2,1
2024-04-03T22:45Z,WSH,PIT,5,3,1
2024-04-03T23:40Z,CHC,COL,9,8,1
2024-04-04T00:10Z,HOU,TOR,8,0,1
2024-04-04T02:10Z,LAD,SF,5,4,1
2024-04-04T16:10Z,NYM,DET,3,6,0
2024-04-04T20:05Z,WSH,PIT,4,7,0
2024-04-04T20:10Z,MIN,CLE,2,4,0
2024-04-04T20:15Z,STL,MIA,8,5,1
2024-04-04T20:20Z,NYM,DET,2,1,1
2024-04-04T23:40Z,KC,CHW,10,1,1
2024-04-05T17:05Z,NYY,TOR,0,3,0
2024-04-05T17:10Z,DET,OAK,5,4,1
2024-04-05T18:20Z,CHC,LAD,9,7,1
2024-04-05T20:10Z,COL,TB,10,7,1
2024-04-05T20:12Z,PIT,BAL,2,5,0
2024-04-05T20:35Z,SF,SD,3,2,1
2024-04-05T22:40Z,CIN,NYM,2,3,0
2024-04-05T22:45Z,WSH,PHI,0,4,0
2024-04-05T23:20Z,ATL,ARI,6,5,1
2024-04-05T23:40Z,KC,CHW,2,1,1
2024-04-06T00:05Z,TEX,HOU,10,2,1
2024-04-06T00:10Z,MIL,SEA,6,5,1
2024-04-06T01:38Z,LAA,BOS,6,8,0
2024-04-06T17:10Z,DET,OAK,0,4,0
2024-04-06T18:10Z,MIN,CLE,1,3,0
2024-04-06T18:15Z,STL,MIA,3,1,1
2024-04-06T20:05Z,PIT,BAL,5,4,1
2024-04-06T20:05Z,CHC,LAD,1,4,0
2024-04-06T20:05Z,WSH,PHI,2,5,0
2024-04-06T20:10Z,CIN,NYM,9,6,1
2024-04-06T23:05Z,TEX,HOU,7,2,1
2024-04-06T23:05Z,NYY,TOR,9,8,1
2024-04-06T23:10Z,KC,CHW,3,0,1
2024-04-06T23:10Z,MIL,SEA,3,5,0
2024-04-06T23:20Z,ATL,ARI,9,8,1
2024-04-07T00:10Z,COL,TB,6,8,0
2024-04-07T01:05Z,SF,SD,0,4,0
2024-04-07T01:38Z,LAA,BOS,2,1,1
2024-04-07T17:35Z,ATL,ARI,5,2,1
2024-04-07T17:35Z,PIT,BAL,3,2,1
2024-04-07T17:35Z,WSH,PHI,3,2,1
2024-04-07T17:35Z,NYY,TOR,8,3,1
2024-04-07T17:40Z,CIN,NYM,1,3,0
2024-04-07T17:40Z,DET,OAK,1,7,0
2024-04-07T18:10Z,KC,CHW,5,3,1
2024-04-07T18:10Z,MIL,SEA,12,4,1
2024-04-07T18:15Z,STL,MIA,3,10,0
2024-04-07T18:20Z,CHC,LAD,8,1,1
2024-04-07T19:10Z,COL,TB,2,3,0
2024-04-07T20:05Z,SF,SD,3,2,1
2024-04-07T20:07Z,LAA,BOS,2,12,0
2024-04-07T23:00Z,TEX,HOU,1,3,0
2024-04-08T21:10Z,CLE,CHW,4,0,1
2024-04-08T22:05Z,NYY,MIA,7,0,1
2024-04-08T22:40Z,PIT,DET,7,4,1
2024-04-08T22:40Z,CIN,MIL,10,8,1
2024-04-08T23:07Z,TOR,SEA,5,2,1
2024-04-08T23:20Z,ATL,NYM,7,8,0
2024-04-08T23:40Z,MIN,LAD,2,4,0
2024-04-08T23:45Z,STL,PHI,3,5,0
2024-04-09T00:05Z,TEX,HOU,5,10,0
2024-04-09T00:40Z,COL,ARI,7,5,1
2024-04-09T01:38Z,LAA,TB,7,1,1
2024-04-09T01:40Z,SD,CHC,9,8,1
2024-04-09T01:45Z,SF,WSH,1,8,0
2024-04-09T16:35Z,PIT,DET,3,5,0
2024-04-09T18:10Z,BOS,BAL,1,7,0
2024-04-09T22:10Z,CLE,CHW,5,7,0
2024-04-09T22:40Z,CIN,MIL,5,9,0
2024-04-09T23:05Z,NYY,MIA,3,2,1
2024-04-09T23:07Z,TOR,SEA,5,3,1
2024-04-09T23:20Z,ATL,NYM,6,5,1
2024-04-09T23:40Z,KC,HOU,4,3,1
2024-04-09T23:40Z,MIN,LAD,3,6,0
2024-04-09T23:45Z,STL,PHI,3,0,1
2024-04-10T00:05Z,TEX,OAK,3,4,0
2024-04-10T00:40Z,COL,ARI,2,3,0
2024-04-10T01:38Z,LAA,TB,4,6,0
2024-04-10T01:45Z,SF,WSH,3,5,0
2024-04-10T02:05Z,SD,CHC,1,5,0
2024-04-10T17:10Z,MIN,LAD,3,2,1
2024-04-10T17:15Z,STL,PHI,3,4,0
2024-04-10T19:07Z,TOR,SEA,1,6,0
2024-04-10T19:10Z,COL,ARI,3,5,0
2024-04-10T19:45Z,SF,WSH,7,1,1
2024-04-10T20:07Z,LAA,TB,2,4,0
2024-04-10T22:10Z,CLE,CHW,7,6,1
2024-04-10T22:40Z,SD,CHC,10,2,1
2024-04-10T22:40Z,CIN,MIL,2,7,0
2024-04-10T23:05Z,NYY,MIA,2,5,0
2024-04-10T23:10Z,BOS,BAL,5,7,0
2024-04-10T23:40Z,KC,HOU,11,2,1
2024-04-11T00:05Z,TEX,OAK,6,2,1
2024-04-11T16:20Z,ATL,NYM,4,16,0
2024-04-11T18:10Z,KC,HOU,13,3,1
2024-04-11T18:35Z,TEX,OAK,0,1,0
2024-04-11T22:40Z,PHI,PIT,5,1,1
2024-04-11T23:10Z,BOS,BAL,4,9,0
2024-04-12T22:40Z,DET,MIN,8,2,1
2024-04-12T22:40Z,PHI,PIT,2,5,0
2024-04-12T22:50Z,TB,SF,2,1,1
2024-04-12T23:05Z,BAL,MIL,1,11,0
2024-04-12T23:07Z,TOR,COL,4,12,0
2024-04-12T23:10Z,BOS,LAA,0,7,0
2024-04-12T23:10Z,MIA,ATL,1,8,0
2024-04-12T23:10Z,NYM,KC,6,1,1
2024-04-12T23:40Z,CHW,CIN,1,11,0
2024-04-13T00:10Z,HOU,TEX,8,12,0
2024-04-13T01:40Z,SEA,CHC,4,2,1
2024-04-13T01:40Z,ARI,STL,6,9,0
2024-04-13T01:40Z,OAK,WSH,2,1,1
2024-04-13T02:10Z,LAD,SD,7,8,0
2024-04-13T16:10Z,CLE,NYY,2,3,0
2024-04-13T17:10Z,DET,MIN,5,11,0
2024-04-13T17:40Z,NYM,KC,7,11,0
2024-04-13T18:10Z,CHW,CIN,0,5,0
2024-04-13T19:07Z,TOR,COL,5,3,1
2024-04-13T20:05Z,BAL,MIL,5,11,0
2024-04-13T20:05Z,PHI,PIT,4,3,1
2024-04-13T20:05Z,HOU,TEX,9,2,1
2024-04-13T20:07Z,OAK,WSH,1,3,0
2024-04-13T20:10Z,BOS,LAA,7,2,1
2024-04-13T20:10Z,MIA,ATL,5,1,1
2024-04-13T20:10Z,TB,SF,2,11,0
2024-04-13T21:05Z,DET,MIN,1,4,0
2024-04-13T22:10Z,CLE,NYY,2,8,0
2024-04-14T00:10Z,ARI,STL,4,2,1
2024-04-14T01:10Z,LAD,SD,5,2,1
2024-04-14T01:40Z,SEA,CHC,1,4,0
2024-04-14T17:35Z,BOS,LAA,5,4,1
2024-04-14T17:35Z,BAL,MIL,6,4,1
2024-04-14T17:35Z,PHI,PIT,2,9,0
2024-04-14T17:37Z,TOR,COL,5,0,1
2024-04-14T17:40Z,MIA,ATL,7,9,0
2024-04-14T17:40Z,NYM,KC,2,1,1
2024-04-14T17:40Z,DET,MIN,4,3,1
2024-04-14T17:40Z,CLE,NYY,8,7,1
2024-04-14T17:40Z,TB,SF,9,4,1
2024-04-14T18:10Z,CHW,CIN,4,11,0
2024-04-14T18:10Z,HOU,TEX,8,5,1
2024-04-14T20:07Z,OAK,WSH,7,6,1
2024-04-14T20:10Z,SEA,CHC,2,3,0
2024-04-14T20:10Z,ARI,STL,5,0,1
2024-04-14T23:00Z,LAD,SD,3,6,0
2024-04-15T15:10Z,BOS,CLE,0,6,0
2024-04-15T22:35Z,BAL,MIN,7,4,1
2024-04-15T22:40Z,PHI,COL,2,1,1
2024-04-15T22:40Z,MIA,SF,3,4,0
2024-04-15T22:40Z,DET,TEX,0,1,0
2024-04-15T22:50Z,TB,LAA,3,7,0
2024-04-15T23:07Z,TOR,NYY,3,1,1
2024-04-15T23:10Z,NYM,PIT,6,3,1
2024-04-15T23:40Z,CHW,KC,0,2,0
2024-04-15T23:40Z,MIL,SD,3,7,0
2024-04-16T00:10Z,HOU,ATL,1,6,0
2024-04-16T01:40Z,ARI,CHC,2,3,0
2024-04-16T01:40Z,OAK,STL,1,3,0
2024-04-16T01:42Z,SEA,CIN,9,3,1
2024-04-16T02:10Z,LAD,WSH,4,6,0
2024-04-16T17:10Z,DET,TEX,4,2,1
2024-04-16T22:35Z,BAL,MIN,11,3,1
2024-04-16T22:40Z,PHI,COL,5,0,1
2024-04-16T22:40Z,MIA,SF,6,3,1
2024-04-16T22:50Z,TB,LAA,7,6,1
2024-04-16T23:07Z,TOR,NYY,5,4,1
2024-04-16T23:10Z,BOS,CLE,7,10,0
2024-04-16T23:10Z,NYM,PIT,3,1,1
2024-04-16T23:40Z,MIL,SD,3,6,0
2024-04-17T00:10Z,HOU,ATL,2,6,0
2024-04-17T01:40Z,ARI,CHC,12,11,1
2024-04-17T01:40Z,SEA,CIN,3,1,1
2024-04-17T01:40Z,OAK,STL,2,3,0
2024-04-17T02:10Z,LAD,WSH,6,2,1
2024-04-17T16:10Z,MIA,SF,1,3,0
2024-04-17T17:05Z,BAL,MIN,4,2,1
2024-04-17T17:10Z,NYM,PIT,9,1,1
2024-04-17T17:10Z,MIL,SD,1,0,1
2024-04-17T17:10Z,DET,TEX,4,5,0
2024-04-17T18:10Z,HOU,ATL,4,5,0
2024-04-17T18:10Z,CHW,KC,2,4,0
2024-04-17T19:07Z,TOR,NYY,4,6,0
2024-04-17T19:10Z,LAD,WSH,0,2,0
2024-04-17T19:37Z,OAK,STL,6,3,1
2024-04-17T19:40Z,ARI,CHC,3,5,0
2024-04-17T20:10Z,SEA,CIN,5,1,1
2024-04-17T21:25Z,CHW,KC,2,1,1
2024-04-17T22:05Z,PHI,COL,7,6,1
2024-04-17T22:50Z,TB,LAA,4,5,0
2024-04-17T23:10Z,BOS,CLE,2,0,1
2024-04-18T17:10Z,TB,LAA,2,1,1
2024-04-18T17:10Z,DET,TEX,7,9,0
2024-04-18T17:35Z,BOS,CLE,4,5,0
2024-04-19T01:45Z,SF,ARI,5,0,1
2024-04-19T18:20Z,CHC,MIA,8,3,1
2024-04-19T22:40Z,CIN,LAA,7,1,1
2024-04-19T22:40Z,PIT,BOS,1,8,0
2024-04-19T22:40Z,PHI,CHW,7,0,1
2024-04-19T22:45Z,WSH,HOU,3,5,0
2024-04-19T23:05Z,NYY,TB,5,3,1
2024-04-19T23:10Z,CLE,OAK,10,2,1
2024-04-19T23:20Z,ATL,TEX,8,3,1
2024-04-19T23:40Z,KC,BAL,9,4,1
2024-04-20T00:10Z,MIN,DET,4,5,0
2024-04-20T00:15Z,STL,MIL,1,2,0
2024-04-20T01:40Z,SD,TOR,1,5,0
2024-04-20T02:10Z,LAD,NYM,4,9,0
2024-04-20T02:15Z,SF,ARI,1,17,0
2024-04-20T17:05Z,NYY,TB,0,2,0
2024-04-20T18:10Z,MIN,DET,4,3,1
2024-04-20T18:15Z,STL,MIL,5,12,0
2024-04-20T18:20Z,CHC,MIA,2,3,0
2024-04-20T20:05Z,SF,ARI,7,3,1
2024-04-20T20:05Z,PIT,BOS,2,4,0
2024-04-20T20:05Z,WSH,HOU,5,4,1
2024-04-20T20:05Z,LAD,NYM,4,6,0
2024-04-20T22:05Z,PHI,CHW,9,5,1
2024-04-20T22:10Z,CLE,OAK,6,3,1
2024-04-20T22:40Z,CIN,LAA,7,5,1
2024-04-20T23:10Z,KC,BAL,7,9,0
2024-04-20T23:20Z,ATL,TEX,5,2,1
2024-04-20T23:40Z,CHC,MIA,5,3,1
2024-04-21T00:10Z,COL,SEA,0,7,0
2024-04-21T00:40Z,SD,TOR,2,5,0
2024-04-21T17:35Z,PIT,BOS,1,6,0
2024-04-21T17:35Z,PHI,CHW,8,2,1
2024-04-21T17:35Z,WSH,HOU,6,0,1
2024-04-21T17:35Z,NYY,TB,5,4,1
2024-04-21T17:40Z,CIN,LAA,3,0,1
2024-04-21T17:40Z,CLE,OAK,6,2,1
2024-04-21T18:10Z,KC,BAL,0,5,0
2024-04-21T18:10Z,MIN,DET,1,6,0
2024-04-21T18:15Z,STL,MIL,0,2,0
2024-04-21T18:20Z,CHC,MIA,3,6,0
2024-04-21T19:10Z,COL,SEA,2,1,1
2024-04-21T20:05Z,SF,ARI,3,5,0
2024-04-21T20:10Z,LAD,NYM,10,0,1
2024-04-21T20:10Z,SD,TOR,6,3,1
2024-04-21T23:00Z,ATL,TEX,4,6,0
2024-04-22T00:10Z,COL,SEA,2,10,0
2024-04-22T17:05Z,NYY,OAK,0,2,0
2024-04-22T22:40Z,PIT,MIL,4,2,1
2024-04-22T22:40Z,CIN,PHI,0,7,0
2024-04-22T22:50Z,TB,DET,1,7,0
2024-04-22T23:20Z,ATL,MIA,3,0,1
2024-04-22T23:40Z,MIN,CHW,7,0,1
2024-04-22T23:40Z,KC,TOR,3,5,0
2024-04-22T23:45Z,STL,ARI,5,3,1
2024-04-23T00:40Z,COL,SD,1,3,0
2024-04-23T01:38Z,LAA,BAL,2,4,0
2024-04-23T01:45Z,SF,NYM,5,2,1
2024-04-23T22:10Z,CLE,BOS,4,1,1
2024-04-23T22:40Z,PIT,MIL,2,1,1
2024-04-23T22:40Z,CIN,PHI,8,1,1
2024-04-23T22:45Z,WSH,LAD,1,4,0
2024-04-23T22:50Z,TB,DET,2,4,0
2024-04-23T23:05Z,NYY,OAK,4,3,1
2024-04-23T23:20Z,ATL,MIA,5,0,1
2024-04-23T23:40Z,MIN,CHW,6,5,1
2024-04-23T23:40Z,CHC,HOU,7,2,1
2024-04-23T23:40Z,KC,TOR,3,2,1
2024-04-23T23:45Z,STL,ARI,1,14,0
2024-04-24T00:05Z,TEX,SEA,0,4,0
2024-04-24T00:40Z,COL,SD,7,4,1
2024-04-24T01:38Z,LAA,BAL,7,4,1
2024-04-24T01:45Z,SF,NYM,5,1,1
2024-04-24T17:15Z,STL,ARI,5,1,1
2024-04-24T19:45Z,SF,NYM,2,8,0
2024-04-24T20:07Z,LAA,BAL,5,6,0
2024-04-24T22:10Z,CLE,BOS,0,8,0
2024-04-24T22:40Z,PIT,MIL,2,3,0
2024-04-24T22:40Z,CIN,PHI,7,4,1
2024-04-24T22:45Z,WSH,LAD,2,11,0
2024-04-24T22:50Z,TB,DET,7,5,1
2024-04-24T23:05Z,NYY,OAK,7,3,1
2024-04-24T23:20Z,ATL,MIA,4,3,1
2024-04-24T23:40Z,MIN,CHW,6,3,1
2024-04-24T23:40Z,CHC,HOU,4,3,1
2024-04-24T23:40Z,KC,TOR,3,2,1
2024-04-25T00:05Z,TEX,SEA,5,1,1
2024-04-25T00:40Z,COL,SD,2,5,0
2024-04-25T16:35Z,PIT,MIL,5,7,0
2024-04-25T17:10Z,CLE,BOS,6,4,1
2024-04-25T17:10Z,MIN,CHW,6,3,1
2024-04-25T17:10Z,CIN,PHI,0,5,0
2024-04-25T18:10Z,KC,TOR,2,1,1
2024-04-25T18:20Z,CHC,HOU,3,1,1
2024-04-25T18:35Z,TEX,SEA,3,4,0
2024-04-25T19:10Z,COL,SD,10,9,1
2024-04-25T20:05Z,WSH,LAD,1,2,0
2024-04-25T23:05Z,NYY,OAK,1,3,0
2024-04-26T17:10Z,DET,KC,0,8,0
2024-04-26T23:05Z,BAL,OAK,2,3,0
2024-04-26T23:07Z,TOR,LAD,2,12,0
2024-04-26T23:10Z,BOS,CHC,1,7,0
2024-04-26T23:10Z,NYM,STL,2,4,0
2024-04-26T23:10Z,MIA,WSH,1,3,0
2024-04-26T23:20Z,ATL,CLE,6,2,1
2024-04-26T23:40Z,CHW,TB,9,4,1
2024-04-27T00:05Z,TEX,CIN,2,1,1
2024-04-27T00:10Z,MIL,NYY,7,6,1
2024-04-27T01:38Z,LAA,MIN,3,5,0
2024-04-27T01:40Z,SEA,ARI,6,1,1
2024-04-27T01:40Z,SD,PHI,3,9,0
2024-04-27T02:15Z,SF,PIT,3,0,1
2024-04-27T19:07Z,TOR,LAD,2,4,0
2024-04-27T20:05Z,TEX,CIN,4,8,0
2024-04-27T20:05Z,BAL,OAK,7,0,1
2024-04-27T20:05Z,NYM,STL,4,7,0
2024-04-27T20:10Z,BOS,CHC,17,0,1
2024-04-27T20:10Z,MIA,WSH,4,11,0
2024-04-27T22:05Z,COL,HOU,4,12,0
2024-04-27T22:10Z,DET,KC,6,5,1
2024-04-27T23:10Z,MIL,NYY,3,15,0
2024-04-27T23:10Z,CHW,TB,8,7,1
2024-04-27T23:20Z,ATL,CLE,2,4,0
2024-04-28T00:40Z,SD,PHI,1,5,0
2024-04-28T01:05Z,SF,PIT,3,4,0
2024-04-28T01:38Z,LAA,MIN,5,16,0
2024-04-28T01:40Z,SEA,ARI,3,1,1
2024-04-28T17:35Z,ATL,CLE,4,3,1
2024-04-28T17:35Z,BAL,OAK,6,7,0
2024-04-28T17:37Z,TOR,LAD,3,1,1
2024-04-28T17:40Z,DET,KC,4,1,1
2024-04-28T17:40Z,NYM,STL,4,2,1
2024-04-28T17:40Z,MIA,WSH,9,12,0
2024-04-28T18:10Z,MIL,NYY,5,15,0
2024-04-28T18:10Z,CHW,TB,4,2,1
2024-04-28T18:35Z,TEX,CIN,4,3,1
2024-04-28T20:05Z,COL,HOU,2,8,0
2024-04-28T20:05Z,SF,PIT,3,2,1
2024-04-28T20:07Z,LAA,MIN,5,11,0
2024-04-28T20:10Z,SEA,ARI,2,3,0
2024-04-28T20:10Z,SD,PHI,6,8,0
2024-04-28T23:00Z,BOS,CHC,5,4,1
2024-04-29T22:35Z,BAL,NYY,2,0,1
2024-04-29T22:40Z,MIA,WSH,2,7,0
2024-04-29T23:07Z,TOR,KC,6,5,1
2024-04-29T23:10Z,NYM,CHC,1,3,0
2024-04-29T23:40Z,CHW,MIN,2,3,0
2024-04-29T23:40Z,MIL,TB,0,1,0
2024-04-30T01:38Z,LAA,PHI,6,5,1
2024-04-30T01:40Z,SEA,ATL,2,1,1
2024-04-30T01:40Z,SD,CIN,2,5,0
2024-04-30T01:40Z,ARI,LAD,4,8,0
2024-04-30T01:40Z,OAK,PIT,5,1,1
2024-04-30T19:40Z,DET,STL,1,2,0
2024-04-30T22:35Z,BAL,NYY,4,2,1
